eid,doi,pii,pubmed_id,title,subtype,subtypeDescription,creator,afid,affilname,affiliation_city,affiliation_country,author_count,author_names,author_ids,author_afids,coverDate,coverDisplayDate,publicationName,issn,source_id,eIssn,aggregationType,volume,issueIdentifier,article_number,pageRange,description,authkeywords,citedby_count,openaccess,freetoread,freetoreadLabel,fund_acr,fund_no,fund_sponsor
2-s2.0-0033723707,10.1016/S0360-1323(99)00057-8,S0360132399000578,,Classification for the room air conditioning strategies,ar,Article,Hagström K.,,Aalto University,Espoo,Finland,,,,,2000-11-01,1 November 2000,Building and Environment,03601323,26874,,Journal,35,8,,699-707,,,14,0,,,,,
2-s2.0-0033721737,10.1016/S0360-1323(99)00059-1,S0360132399000591,,The use of performance-based simulation tools for building design and evaluation: A Singapore perspective,ar,Article,Hien W.N.,,National University of Singapore,Singapore City,Singapore,,,,,2000-11-01,1 November 2000,Building and Environment,03601323,26874,,Journal,35,8,,709-736,,,45,0,,,,,
2-s2.0-0033705920,10.1016/S0360-1323(00)00015-9,S0360132300000159,,Investigating the effects of humidity and salt crystallisation on medieval masonry,ar,Article,Watt D.,,De Montfort University,Leicester,United Kingdom,,,,,2000-11-01,1 November 2000,Building and Environment,03601323,26874,,Journal,35,8,,737-749,,,39,0,,,,,
2-s2.0-0033684307,10.1016/S0360-1323(99)00042-6,S0360132399000426,,Evaluation of indoor air quality using the decibel concept based on carbon dioxide and TVOC,ar,Article,Jokl M.V.,,Czech Technical University in Prague,Prague,Czech Republic,,,,,2000-11-01,1 November 2000,Building and Environment,03601323,26874,,Journal,35,8,,677-697,,,71,0,,,,,
2-s2.0-0034118058,10.1016/S0360-1323(99)00049-9,S0360132399000499,,A dynamic mathematical model of a direct expansion (DX) water-cooled air-conditioning plant,ar,Article,Shiming D.,,The Hong Kong Polytechnic University,Hong Kong,Hong Kong,,,,,2000-10-01,1 October 2000,Building and Environment,03601323,26874,,Journal,35,7,,603-613,,,43,0,,,,,
2-s2.0-0034083647,10.1016/S0360-1323(99)00029-3,S0360132399000293,,The influence of an architectural design alternative (transoms) on indoor air environment in conventional kitchens in Taiwan,ar,Article,Chiang C.M.,,National Cheng Kung University,Tainan,Taiwan,,,,,2000-10-01,1 October 2000,Building and Environment,03601323,26874,,Journal,35,7,,579-585,,,58,0,,,,,
2-s2.0-0034075152,10.1016/S0360-1323(99)00054-2,S0360132399000542,,A new and rational approach to modelling and designing potable water and electricity supply systems in African cities,ar,Article,Tatietse T.T.,,Lab. Amenagement Urbain-Ecl. P.,Yaounde,Cameroon,,,,,2000-10-01,1 October 2000,Building and Environment,03601323,26874,,Journal,35,7,,645-654,,,6,0,,,,,
2-s2.0-0033751643,10.1016/S0360-1323(99)00053-0,S0360132399000530,,Electrochemical method to assess the absorption of NaCl solutions in OPC and SRPC mortars,ar,Article,Sanjuán M.A.,,Imperial College London,London,United Kingdom,,,,,2000-10-01,1 October 2000,Building and Environment,03601323,26874,,Journal,35,7,,595-601,,,4,0,,,,,
2-s2.0-0033749108,10.1016/S0360-1323(99)00055-4,S0360132399000554,,Development of a daylight responsive dimming system and preliminary evaluation of system performance,ar,Article,Choi A.,,Sejong University,Seoul,South Korea,,,,,2000-10-01,1 October 2000,Building and Environment,03601323,26874,,Journal,35,7,,663-676,,,18,0,,,,,
2-s2.0-0033742716,10.1016/S0360-1323(99)00051-7,S0360132399000517,,TRNSHD - A program for shading and insolation calculations,ar,Article,Hiller M.D.E.,,UW-Madison College of Engineering,Madison,United States,,,,,2000-10-01,1 October 2000,Building and Environment,03601323,26874,,Journal,35,7,,633-644,,,28,0,,,,,
2-s2.0-0033742606,10.1016/S0360-1323(99)00041-4,S0360132399000414,,Grey model of direct solar radiation intensity on the horizontal plane for cooling loads calculation,ar,Article,Hu W.,,Hunan University,Changsha,China,,,,,2000-10-01,1 October 2000,Building and Environment,03601323,26874,,Journal,35,7,,587-593,,,22,0,,,,,
2-s2.0-0033742605,10.1016/S0360-1323(99)00050-5,S0360132399000505,,Temperatures in and under a slab-on-ground floor: Two- and three-dimensional numerical simulations and comparison with experimental data,ar,Article,Adjali M.H.,,University of Westminster,London,United Kingdom,,,,,2000-10-01,1 October 2000,Building and Environment,03601323,26874,,Journal,35,7,,655-662,,,41,0,,,,,
2-s2.0-0033734046,10.1016/S0360-1323(99)00052-9,S0360132399000529,,The development of a radon entry model for a house with a cellar,ar,Article,Wang F.,,The University of Sheffield,Sheffield,United Kingdom,,,,,2000-10-01,1 October 2000,Building and Environment,03601323,26874,,Journal,35,7,,615-631,,,29,0,,,,,
2-s2.0-0034106064,10.1016/S0360-1323(99)00032-3,S0360132399000323,,Model-based optimal control of VAV air-conditioning system using genetic algorithm,ar,Article,Wang S.,,The Hong Kong Polytechnic University,Hong Kong,Hong Kong,,,,,2000-08-01,1 August 2000,Building and Environment,03601323,26874,,Journal,35,6,,471-487,,,242,0,,,,,
2-s2.0-0034068211,10.1016/S0360-1323(99)00045-1,S0360132399000451,,"Isothermal moisture flow in building materials:: Modelling, measurements and calculations based on Kirchhoff's potential",ar,Article,Arfvidsson J.,,Lunds Universitet,Lund,Sweden,,,,,2000-08-01,1 August 2000,Building and Environment,03601323,26874,,Journal,35,6,,519-536,,,36,0,,,,,
2-s2.0-0034033499,10.1016/S0360-1323(99)00033-5,S0360132399000335,,"Combined simulation of airflow, radiation and moisture transport for heat release from a human body",ar,Article,Murakami S.,,Institute of Industrial Science,Tokyo,Japan,,,,,2000-08-01,1 August 2000,Building and Environment,03601323,26874,,Journal,35,6,,489-500,,,191,0,,,,,
2-s2.0-0034029425,10.1016/S0360-1323(99)00044-X,S036013239900044X,,Influence of heat gains on heat recovery in a two-zone-industrial building with several available hot refuse flows,ar,Article,Bojić M.,,The Hong Kong Polytechnic University;Kragujevac University,Hong Kong;,Hong Kong;Serbia,,,,,2000-08-01,1 August 2000,Building and Environment,03601323,26874,,Journal,35,6,,511-517,,,1,0,,,,,
2-s2.0-0033901392,10.1016/S0360-1323(99)00040-2,S0360132399000402,,A study of personal exposure to nitrogen dioxide using passive samplers,ar,Article,Chao C.,,Hong Kong University of Science and Technology,Hong Kong,Hong Kong,,,,,2000-08-01,1 August 2000,Building and Environment,03601323,26874,,Journal,35,6,,545-553,,,29,0,,,,,
2-s2.0-0033899450,10.1016/S0360-1323(99)00046-3,S0360132399000463,,Multicriteria optimisation of the building arrangement with application of numerical simulation,ar,Article,Klemm K.,,Lodz University of Technology,Lodz,Poland,,,,,2000-08-01,1 August 2000,Building and Environment,03601323,26874,,Journal,35,6,,537-544,,,27,0,,,,,
2-s2.0-0033887183,10.1016/S0360-1323(99)00043-8,S0360132399000438,,Evaluation of slope irradiance and illuminance models against measured Hong Kong data,ar,Article,Li D.,,City University of Hong Kong,Hong Kong,Hong Kong,,,,,2000-08-01,1 August 2000,Building and Environment,03601323,26874,,Journal,35,6,,501-509,,,49,0,,,,,
2-s2.0-0033873180,10.1016/S0360-1323(99)00048-7,S0360132399000487,,Survey and mitigation of occupational exposure of radon in workplaces,ar,Article,Korhonen P.,,Työterveyslaitos,Helsinki,Finland,,,,,2000-08-01,1 August 2000,Building and Environment,03601323,26874,,Journal,35,6,,555-562,,,13,0,,,,,
2-s2.0-0034127764,10.1016/S0360-1323(99)00034-7,S0360132399000347,,Numerical evaluation of thermal comfort in rooms with dynamic insulation,ar,Article,Gan G.,,University of Nottingham,Nottingham,United Kingdom,,,,,2000-07-01,1 July 2000,Building and Environment,03601323,26874,,Journal,35,5,,445-453,,,55,0,,,,,
2-s2.0-0034085781,10.1016/S0360-1323(99)00038-4,S0360132399000384,,A rational method for the distribution of nodes in modelling of transient heat conduction in plane slabs,ar,Article,Tuomaala P.,,Teknologian Tutkimuskeskus VTT,Espoo,Finland,,,,,2000-07-01,1 July 2000,Building and Environment,03601323,26874,,Journal,35,5,,397-406,,,15,0,,,,,
