eid,doi,pii,pubmed_id,title,subtype,subtypeDescription,creator,afid,affilname,affiliation_city,affiliation_country,author_count,author_names,author_ids,author_afids,coverDate,coverDisplayDate,publicationName,issn,source_id,eIssn,aggregationType,volume,issueIdentifier,article_number,pageRange,description,authkeywords,citedby_count,openaccess,freetoread,freetoreadLabel,fund_acr,fund_no,fund_sponsor
2-s2.0-84921897308,10.1016/j.engstruct.2014.10.007,S0141029614006129,,Identification of bridge mode shapes using Short Time Frequency Domain Decomposition of the responses measured in a passing vehicle,ar,Article,Malekjafarian A.,,University College Dublin,Dublin,Ireland,,,,,2014-12-05,"December 05, 2014",Engineering Structures,01410296,15652,1873-7323,Journal,81,,,386-397,,,248,0,repositoryam,Green,,,
2-s2.0-84908402333,10.1016/j.engstruct.2014.10.012,S0141029614006178,,Modelling high temperature effects on bridge slabs reinforced with GFRP rebars,ar,Article,Pagani R.,,Politecnico di Milano,Milan,Italy,,,,,2014-12-05,"December 05, 2014",Engineering Structures,01410296,15652,1873-7323,Journal,81,,,318-326,,,16,0,repositoryam,Green,,,
2-s2.0-84908317964,10.1016/j.engstruct.2014.10.008,S0141029614006130,,Prediction of the nonlinear pull-out response of FRP ground anchors using an analytical transfer matrix method,ar,Article,Zheng J.,,Zhejiang University of Technology,Hangzhou,China,,,,,2014-12-05,"December 05, 2014",Engineering Structures,01410296,15652,18737323,Journal,81,,,377-385,,,37,0,,,,,
2-s2.0-84911922935,10.1016/j.engstruct.2014.11.007,S0141029614006750,,"Corrigendum to ""Foundation settlement analysis of Fort Sumter National Monument: Model development and predictive assessment"" [Eng. Struct. 65 (2014) 1-12] DOI: 10.1016/j.engstruct.2014.01.041",er,Erratum,Prabhu S.,,"Clemson University College of Engineering, Computing and Applied Sciences",Clemson,United States,,,,,2014-12-01,"December 01, 2014",Engineering Structures,01410296,15652,1873-7323,Journal,80,,,521,,,0,0,,,,,
2-s2.0-84907714052,10.1016/j.engstruct.2014.09.013,S0141029614005501,,Structural performance of Dou-Gong brackets of Yingxian Wood Pagoda under vertical load - An experimental study,ar,Article,Chen Z.,,Harbin Institute of Technology;University of New Brunswick,Harbin;Fredericton,China;Canada,,,,,2014-12-01,"December 01, 2014",Engineering Structures,01410296,15652,18737323,Journal,80,,,274-288,,,96,0,,,,,
2-s2.0-84918528815,10.1016/j.engstruct.2014.11.023,S0141029614007111,,A simplified 2D model to study the contact-friction at the interfaces of steel-concrete composite beam-to-beam joint,ar,Article,Guezouli S.,,INSA Rennes,Rennes,France,,,,,2014-11-18,"November 18, 2014",Engineering Structures,01410296,15652,18737323,Journal,84,,,76-88,,,3,0,repositoryam,Green,,,
2-s2.0-84908288568,10.1016/j.engstruct.2014.08.024,S0141029614004957,,Numerical and analytical investigation on the dynamic buckling behavior of glass columns under blast,ar,Article,Bedon C.,,Università degli Studi di Trieste,Trieste,Italy,,,,,2014-11-05,"November 05, 2014",Engineering Structures,01410296,15652,18737323,Journal,79,,,322-340,,,31,0,,,,,
2-s2.0-85027920684,10.1016/j.engstruct.2014.07.047,S0141029614004684,,Optimal performance-based design of non-linear stochastic dynamical RC structures subject to stationary wind excitation,ar,Article,Beck A.,,Universidade de São Paulo,Sao Paulo,Brazil,,,,,2014-11-01,"November 01, 2014",Engineering Structures,01410296,15652,18737323,Journal,78,,,145-153,,,58,0,,,,,
2-s2.0-85027919121,10.1016/j.engstruct.2014.07.015,S0141029614004337,,New insights in the analysis of the structural response to response-spectrum-compatible accelerograms,ar,Article,Cacciola P.,,University of Brighton,Brighton,United Kingdom,,,,,2014-11-01,"November 01, 2014",Engineering Structures,01410296,15652,18737323,Journal,78,,,3-16,,,20,0,,,,,
2-s2.0-84908384206,10.1016/j.engstruct.2014.05.016,S0141029614003034,,Multi-hazard risk assessment of highway bridges subjected to earthquake and hurricane hazards,ar,Article,Kameshwar S.,,George R. Brown School of Engineering,Houston,United States,,,,,2014-11-01,"November 01, 2014",Engineering Structures,01410296,15652,18737323,Journal,78,,,154-166,,,202,0,,,,,
