eid,doi,pii,pubmed_id,title,subtype,subtypeDescription,creator,afid,affilname,affiliation_city,affiliation_country,author_count,author_names,author_ids,author_afids,coverDate,coverDisplayDate,publicationName,issn,source_id,eIssn,aggregationType,volume,issueIdentifier,article_number,pageRange,description,authkeywords,citedby_count,openaccess,freetoread,freetoreadLabel,fund_acr,fund_no,fund_sponsor
2-s2.0-84947617782,10.1016/j.istruc.2015.08.005,S2352012415000995,,Numerical investigation on I-beam to CHS column connections equipped with NiTi shape memory alloy and steel tendons under cyclic loads,ar,Article,Wang W.,,State Key Laboratory of Disaster Reduction in Civil Engineering;Tongji University,Shanghai;Shanghai,China;China,,,,,2015-11-01,November 2015,Structures,,21100372467,23520124,Journal,4,,,114-124,,,5,0,,,,,
2-s2.0-84947616951,10.1016/j.istruc.2015.08.007,S2352012415001010,,Interactively Induced Localization in Thin-walled I-section Struts Buckling About the Strong Axis,ar,Article,Liu E.L.,,Imperial College London,London,United Kingdom,,,,,2015-11-01,November 2015,Structures,,21100372467,23520124,Journal,4,,,13-26,,,12,0,,,,,
2-s2.0-84947613033,10.1016/j.istruc.2015.08.006,S2352012415001009,,Advanced materials for concrete-filled tubular columns and connections,ar,Article,Espinos A.,,Universitat Politècnica de València,Valencia,Spain,,,,,2015-11-01,November 2015,Structures,,21100372467,23520124,Journal,4,,,105-113,,,17,0,repositoryvor,Green,,,
2-s2.0-84947609179,10.1016/j.istruc.2015.10.011,S2352012415001174,,A new approach to modal decomposition of buckled shapes,ar,Article,Becque J.,,The University of Sheffield,Sheffield,United Kingdom,,,,,2015-11-01,November 2015,Structures,,21100372467,23520124,Journal,4,,,2-12,,,12,0,,,,,
2-s2.0-84947584697,10.1016/j.istruc.2015.10.004,S2352012415001101,,Experimental study of stainless steel angles and channels in bending,ar,Article,Theofanous M.,,University of Birmingham,Birmingham,United Kingdom,,,,,2015-11-01,November 2015,Structures,,21100372467,23520124,Journal,4,,,80-90,,,44,0,repositoryam,Green,,,
2-s2.0-84947581058,10.1016/j.istruc.2015.10.009,S2352012415001150,,"Steel Structures: Mechanics, Simulation and Testing",ed,Editorial,Silvestre N.,,,,,,,,,2015-11-01,November 2015,Structures,,21100372467,23520124,Journal,4,,,1,,,0,0,,,,,
2-s2.0-84947580177,10.1016/j.istruc.2015.10.007,S2352012415001137,,On the influence of the load sequence on the structural reliability of steel members and frames,ar,Article,Taras A.,,Technische Universitat Graz,Graz,Austria,,,,,2015-11-01,November 2015,Structures,,21100372467,23520124,Journal,4,,,91-104,,,10,0,,,,,
2-s2.0-84947570482,10.1016/j.istruc.2015.10.002,S2352012415001083,,A GBT Model for the Analysis of Composite Steel-Concrete Beams with Partial Shear Interaction,ar,Article,Taig G.,,Faculty of Engineering,Sydney,Australia,,,,,2015-11-01,November 2015,Structures,,21100372467,23520124,Journal,4,,,27-37,,,14,0,,,,,
2-s2.0-84947554227,10.1016/j.istruc.2015.10.005,S2352012415001113,,"Local-Distortional Interaction in Cold-formed Steel Columns: Mechanics, Testing, Numerical Simulation and Design",ar,Article,Martins A.D.,,CERIS – Civil Engineering Research and Innovation for Sustainability,Lisbon,Portugal,,,,,2015-11-01,November 2015,Structures,,21100372467,23520124,Journal,4,,,38-57,,,21,0,,,,,
2-s2.0-84947550781,10.1016/j.istruc.2015.10.010,S2352012415001162,,Structural modeling of cold-formed steel portal frames,ar,Article,Zhang X.,,Faculty of Engineering,Sydney,Australia,,,,,2015-11-01,November 2015,Structures,,21100372467,23520124,Journal,4,,,58-68,,,18,0,,,,,
2-s2.0-84947545469,10.1016/j.istruc.2015.10.003,S2352012415001095,,Experimental Study on Ferritic Stainless Steel RHS and SHS Cross-sectional Resistance Under Combined Loading,ar,Article,Arrayago I.,,Universitat Politècnica de Catalunya,Barcelona,Spain,,,,,2015-11-01,November 2015,Structures,,21100372467,23520124,Journal,4,,,69-79,,,44,0,,,,,
2-s2.0-84938213772,10.1016/j.istruc.2015.04.002,S2352012415000491,,Full-scale experimental study on the influence of damages on the static behavior of the single-layer cable net structure,ar,Article,Yang L.,,Beijing University of Technology,Beijing,China,,,,,2015-08-01,1 August 2015,Structures,,21100372467,23520124,Journal,3,,,153-162,,,11,0,,,,,
2-s2.0-84938213705,10.1016/j.istruc.2015.03.005,S2352012415000442,,Experimental testing of grouted connections for offshore substructures: A critical review,re,Review,Dallyn P.,,Loughborough University,Loughborough,United Kingdom,,,,,2015-08-01,1 August 2015,Structures,,21100372467,23520124,Journal,3,,,90-108,,,72,1,repositoryvor,Green,,,
2-s2.0-84938212738,10.1016/j.istruc.2015.05.001,S2352012415000545,,Performance of concrete-encased CFST box stub columns under axial compression,ar,Article,An Y.F.,,Tsinghua University,Beijing,China,,,,,2015-08-01,1 August 2015,Structures,,21100372467,23520124,Journal,3,,,211-226,,,27,0,,,,,
2-s2.0-84938211381,10.1016/j.istruc.2015.03.006,S2352012415000454,,Shear tests of hollow flange channel beams with real support conditions,ar,Article,Keerthan P.,,Queensland University of Technology,Brisbane,Australia,,,,,2015-08-01,1 August 2015,Structures,,21100372467,23520124,Journal,3,,,109-119,,,7,0,repositoryam,Green,,,
2-s2.0-84938211056,10.1016/j.istruc.2015.06.002,S2352012415000594,,Experimental response and design of O-connectors for rocking wall systems,ar,Article,Twigden K.M.,,The University of Auckland,Auckland,New Zealand,,,,,2015-08-01,1 August 2015,Structures,,21100372467,23520124,Journal,3,,,261-271,,,31,0,,,,,
2-s2.0-84938210901,10.1016/j.istruc.2015.04.003,S2352012415000508,,U-shaped metallic-yielding damper in building structures: Seismic behavior and comparison with a friction damper,ar,Article,Bagheri S.,,University of Tabriz,Tabriz,Iran,,,,,2015-08-01,1 August 2015,Structures,,21100372467,23520124,Journal,3,,,163-171,,,95,0,,,,,
2-s2.0-84938209947,10.1016/j.istruc.2015.06.005,S2352012415000624,,Experimental Response of Reinforced Concrete Frames With AAC Masonry Infill Walls to In-plane Cyclic Loading,ar,Article,Schwarz S.,,Technion - Israel Institute of Technology,Haifa,Israel,,,,,2015-08-01,1 August 2015,Structures,,21100372467,23520124,Journal,3,,,306-319,,,42,0,,,,,
2-s2.0-84938207897,10.1016/j.istruc.2015.03.007,S2352012415000466,,Robustness of simple joints in pultruded FRP frames,ar,Article,Qureshi J.,,University of East London,London,United Kingdom,,,,,2015-08-01,1 August 2015,Structures,,21100372467,23520124,Journal,3,,,120-129,,,12,1,repositoryvor,Green,,,
2-s2.0-84938207609,10.1016/j.istruc.2015.04.004,S235201241500051X,,Imperfection sensitivity and geometric effects in stiffened plates susceptible to cellular buckling,ar,Article,Wadee M.A.,,Imperial College London,London,United Kingdom,,,,,2015-08-01,1 August 2015,Structures,,21100372467,23520124,Journal,3,,,172-186,,,22,0,,,,,
2-s2.0-84938205513,10.1016/j.istruc.2015.04.001,S235201241500048X,,Modelling of beam response for progressive collapse analysis,ar,Article,Stylianidis P.M.,,Imperial College London,London,United Kingdom,,,,,2015-08-01,1 August 2015,Structures,,21100372467,23520124,Journal,3,,,137-152,,,27,0,repositoryam,Green,,,
2-s2.0-84938204355,10.1016/j.istruc.2015.06.003,S2352012415000600,,Development of a nonlinear FE modelling approach for FRP-strengthened RC beam-column connections,ar,Article,Baji H.,,The University of Queensland,Brisbane,Australia,,,,,2015-08-01,1 August 2015,Structures,,21100372467,23520124,Journal,3,,,272-281,,,23,0,,,,,
2-s2.0-84938204080,10.1016/j.istruc.2015.06.004,S2352012415000612,,Seismic Behaviour of Different Bracing Systems in High Rise 2-D Steel Buildings,ar,Article,Patil D.M.,,Veermata Jijabai Technological Institute,Mumbai,India,,,,,2015-08-01,1 August 2015,Structures,,21100372467,23520124,Journal,3,,,282-305,,,43,0,,,,,
2-s2.0-84938203189,10.1016/j.istruc.2015.04.005,S2352012415000521,,In Situ Out-of-Plane Testing of Unreinforced Masonry Cavity Walls in as-Built and Improved Conditions,ar,Article,Walsh K.Q.,,The University of Auckland,Auckland,New Zealand,,,,,2015-08-01,1 August 2015,Structures,,21100372467,23520124,Journal,3,,,187-199,,,33,0,repositoryam,Green,,,
2-s2.0-84938203027,10.1016/j.istruc.2015.05.002,S2352012415000557,,"Timber gridshells: Numerical simulation, design and construction of a full scale structure",ar,Article,D'Amico B.,,Edinburgh Napier University,Edinburgh,United Kingdom,,,,,2015-08-01,1 August 2015,Structures,,21100372467,23520124,Journal,3,,,227-235,,,36,0,repositoryam,Green,,,
2-s2.0-84938202028,10.1016/j.istruc.2015.04.006,S2352012415000533,,Seismic response of nonstructural components supported by a 4-story SMRF: Effect of nonlinear soil-structure interaction,ar,Article,Raychowdhury P.,,Indian Institute of Technology Kanpur,Kanpur,India,,,,,2015-08-01,1 August 2015,Structures,,21100372467,23520124,Journal,3,,,200-210,,,17,0,,,,,
2-s2.0-84938198992,10.1016/j.istruc.2015.05.003,S2352012415000569,,Unequally spaced lateral bracings on compression flanges of steel girders,ar,Article,Mehri H.,,Lunds Universitet,Lund,Sweden,,,,,2015-08-01,1 August 2015,Structures,,21100372467,23520124,Journal,3,,,236-243,,,8,0,,,,,
2-s2.0-84938198203,10.1016/j.istruc.2015.06.001,S2352012415000582,,Improved Formulation of Travelling Fires and Application to Concrete and Steel Structures,ar,Article,Rackauskaite E.,,Imperial College London,London,United Kingdom,,,,,2015-08-01,1 August 2015,Structures,,21100372467,23520124,Journal,3,,,250-260,,,71,1,repositoryam,Green,,,
2-s2.0-84938198174,10.1016/j.istruc.2015.05.004,S2352012415000570,,Torsional stiffness bounds of helical structures under the influence of kinematic constraints,ar,Article,Karathanasopoulos N.,,ETH Zürich,Zurich,Switzerland,,,,,2015-08-01,1 August 2015,Structures,,21100372467,23520124,Journal,3,,,244-249,,,11,0,,,,,
2-s2.0-84938091249,10.1016/j.istruc.2015.03.001,S2352012415000405,,Seismic Rehabilitation of RC Columns Under Biaxial Loading: An Experimental Characterization,ar,Article,Rodrigues H.,,Polytechnic Institute of Leiria,Leiria,Portugal,,,,,2015-08-01,1 August 2015,Structures,,21100372467,23520124,Journal,3,,,43-56,,,22,0,,,,,
2-s2.0-84938085833,10.1016/j.istruc.2015.03.003,S2352012415000429,,Automating measurement process to improve quality management for piping fabrication,ar,Article,Safa M.,,University of Waterloo,Waterloo,Canada,,,,,2015-08-01,1 August 2015,Structures,,21100372467,23520124,Journal,3,,,71-80,,,32,0,,,,,
2-s2.0-84938083173,10.1016/j.istruc.2015.06.006,S2352012415000636,,Semi-active Damping Device Based on Superelastic Shape Memory Alloys,ar,Article,Silva Lobo P.,,CERIS – Civil Engineering Research and Innovation for Sustainability;Universidade da Madeira,Lisbon;Funchal,Portugal;Portugal,,,,,2015-08-01,1 August 2015,Structures,,21100372467,23520124,Journal,3,,,1-12,,,14,0,,,,,
2-s2.0-84938082153,10.1016/j.istruc.2015.03.004,S2352012415000430,,Effect of span length on progressive collapse behaviour of steel moment resisting frames,ar,Article,Hashemi Rezvani F.,,The University of Queensland,Brisbane,Australia,,,,,2015-08-01,1 August 2015,Structures,,21100372467,23520124,Journal,3,,,81-89,,,45,0,,,,,
2-s2.0-84938078871,10.1016/j.istruc.2015.03.002,S2352012415000417,,Rapid visual screening for seismic evaluation of RC hospital buildings,ar,Article,Perrone D.,,Università del Salento,Lecce,Italy,,,,,2015-08-01,1 August 2015,Structures,,21100372467,23520124,Journal,3,,,57-70,,,84,0,,,,,
2-s2.0-84938074440,10.1016/j.istruc.2015.02.005,S2352012415000326,,Experimental Investigation of Crumb Rubber Concrete Columns under Seismic Loading,ar,Article,Youssf O.,,University of South Australia,Adelaide,Australia,,,,,2015-08-01,1 August 2015,Structures,,21100372467,23520124,Journal,3,,,13-27,,,161,0,,,,,
2-s2.0-84938061072,10.1016/j.istruc.2015.02.006,S2352012415000338,,Stress field based truss model for shear-critical prestressed concrete beams,ar,Article,De Wilder K.,,KU Leuven,Leuven,Belgium,,,,,2015-08-01,1 August 2015,Structures,,21100372467,23520124,Journal,3,,,28-42,,,7,0,,,,,
2-s2.0-84938060712,10.1016/j.istruc.2015.03.008,S2352012415000478,,Replacement of Deformed Side-Face Steel Reinforcement in Deep Beams With Steel Fibers,ar,Article,Tuchscherer R.G.,,"NAU College of Engineering, Informatics, and Applied Sciences",Flagstaff,United States,,,,,2015-08-01,1 August 2015,Structures,,21100372467,23520124,Journal,3,,,130-136,,,14,0,,,,,
2-s2.0-84928647102,10.1016/j.istruc.2015.02.002,S2352012415000296,,Comparative Post-Yield Performance Evaluation of Flexural Members under Monotonic and Cyclic Loadings based on Experimental Tests,ar,Article,Dadi V.V.S.S.K.,,Guru Ghasidas Vishwavidyalaya,Bilaspur,India,,,,,2015-06-01,1 June 2015,Structures,,21100372467,23520124,Journal,2,,,72-80,,,6,0,,,,,
2-s2.0-84928637221,10.1016/j.istruc.2015.02.004,S2352012415000314,,Sensitivity of Pushover Curve to Material and Geometric Modelling-An Analytical Investigation,ar,Article,Panandikar Hede N.,,National Institute of Technology Karnataka,Mangalore,India,,,,,2015-06-01,1 June 2015,Structures,,21100372467,23520124,Journal,2,,,91-97,,,17,0,,,,,
2-s2.0-84928634969,10.1016/j.istruc.2014.12.001,S2352012414000113,,Performance assessment of steel-concrete composite bridges with subsurface deck deterioration,ar,Article,Gheitasi A.,,University of Virginia School of Engineering and Applied Science,Charlottesville,United States,,,,,2015-06-01,1 June 2015,Structures,,21100372467,23520124,Journal,2,,,8-20,,,23,0,,,,,
2-s2.0-84928632787,10.1016/j.istruc.2015.01.003,S2352012415000168,,Prestress losses in pretensioned concrete beams cast with lightweight self-consolidating concrete,ar,Article,Bymaster J.C.,,Arkansas Department of Transportation,Little Rock,United States,,,,,2015-06-01,1 June 2015,Structures,,21100372467,23520124,Journal,2,,,50-57,,,27,0,,,,,
